Titre original,Note press,Notes spectateur,id allocine,Box office,date,duree_minutes,Nombre_de_critiques_presse,Nombre_de_notes_spectateurs,Nombre_de_critiques_spectateurs
Twelve,1.5,2.3,145533,183461.0,2010-09-08,95.0,13.0,1502.0,267.0
Welcome to the Rileys,2.9,3.8,141576,37306.0,2010-11-10,110.0,20.0,1292.0,204.0
Furry Vengeance,,1.7,142870,16811000.0,2010-07-21,92.0,,478.0,111.0
Scooby-Doo! Curse of the Lake Monster,,2.0,182100,,2018-02-02,79.0,,166.0,18.0
Extraordinary Measures,2.4,2.7,137255,11933000.0,2010-03-17,106.0,10.0,473.0,109.0
YellowBrickRoad,,1.4,193555,,2013-03-06,100.0,,151.0,46.0
My Soul To Take,2.2,1.9,134192,13969000.0,2012-08-01,107.0,10.0,433.0,94.0
Game of Death,,1.7,173784,,2011-02-22,98.0,,150.0,37.0
Stake Land,,3.1,186053,,2011-10-04,98.0,,521.0,120.0
Burning Bright,,2.9,182597,,2015-07-25,90.0,,117.0,25.0
For Colored Girls,,3.9,172297,37248000.0,2012-03-20,133.0,,151.0,17.0
The Tortured,,2.7,174426,,2010-11-02,79.0,,218.0,67.0
The Final,,2.3,185115,,2011-11-03,93.0,,134.0,39.0
Lottery Ticket,,3.2,170967,23505360.0,2017-12-17,99.0,,98.0,8.0
Going The Distance,3.3,3.0,145107,16771305.0,2010-09-29,101.0,14.0,1731.0,256.0
Stomp the Yard 2: Homecoming,,2.1,174347,,2018-06-15,84.0,,123.0,10.0
Lemonade Mouth,,3.8,193513,,2011-10-19,103.0,,332.0,25.0
The Switch,1.9,2.3,123257,26600152.0,2010-08-25,102.0,7.0,1446.0,205.0
Batman: Under the Red Hood,,4.1,183831,,2012-11-15,75.0,,435.0,47.0
The Myth of the American Sleepover,,3.2,180591,,2015-06-04,93.0,,137.0,23.0
Just Wright,2.5,3.2,145376,20800000.0,2011-05-11,100.0,2.0,287.0,22.0
30 Days of Night: Dark Days,,1.4,172180,,2010-10-20,92.0,,358.0,106.0
You Again,,2.8,145709,24697810.0,2015-01-01,105.0,,696.0,70.0
Paranormal Activity 2,2.2,2.0,177503,83583230.0,2010-10-20,91.0,5.0,3928.0,803.0
Alpha and Omega,1.8,2.4,135391,24087398.0,2010-10-20,88.0,10.0,470.0,81.0
The Warrior's Way,,3.2,185083,4918000.0,2014-05-20,100.0,,259.0,66.0
The Tempest,,1.9,139805,,2012-12-13,110.0,,77.0,17.0
And Soon the Darkness,,1.9,144376,,2023-11-20,,,376.0,64.0
Death Race 2,,2.1,171199,,2011-03-01,100.0,,747.0,112.0
The Dynamiter,3.6,3.9,190068,29851.0,2012-07-04,73.0,18.0,415.0,54.0
Ramona and Beezus,2.0,3.5,143429,23335273.0,2011-01-19,103.0,2.0,359.0,33.0
Legendary,,3.7,176479,,2010-10-05,107.0,,155.0,25.0
Cats And Dogs: The Revenge Of Kitty Galore,2.3,2.3,42753,41279244.0,2010-08-04,85.0,3.0,617.0,106.0
The Traveler,,1.4,192591,,2020-05-26,90.0,,103.0,30.0
Hesher,,3.7,146227,,2012-01-03,106.0,,895.0,118.0
Hatchet II,,2.0,144646,,2011-07-01,85.0,,218.0,63.0
Dear Mr. Gacy,,3.3,143369,,2011-07-05,103.0,,95.0,22.0
When in Rome,,2.6,134125,30873000.0,2010-08-25,90.0,,755.0,65.0
Tinker Bell and the Great Fairy Rescue,,3.8,172498,,2010-10-20,77.0,,482.0,26.0
Camp Rock 2 : The Final Jam,,2.9,147213,,2010-09-29,97.0,,532.0,46.0
Miral,1.7,3.0,143928,37193.0,2010-09-15,112.0,17.0,243.0,59.0
6 Guns,,1.7,183179,,2012-04-03,95.0,,41.0,11.0
Country Strong,1.3,3.4,183108,19817182.0,2011-05-04,112.0,3.0,274.0,50.0
Free Willy : Escape from Pirate's Cove,,1.8,180351,,2010-06-23,98.0,,72.0,12.0
The Perfect Teacher,,2.3,191286,,2011-03-24,105.0,,105.0,17.0
Adventures of a Teenage Dragonslayer,,1.5,186362,,2010-12-01,90.0,,45.0,10.0
Sinners & Saints,,2.6,198107,,2011-10-13,104.0,,66.0,16.0
Howl,2.7,3.1,138478,4816.0,2012-02-15,84.0,14.0,261.0,38.0
Bunraku,3.0,2.8,133984,,2011-12-01,118.0,1.0,274.0,59.0
Mega Piranha,,1.3,182415,,2010-11-23,92.0,,131.0,46.0
Halo Legends,,3.5,181047,,2010-02-17,118.0,,86.0,20.0
Open season 3,,2.4,187460,,2011-01-05,74.0,,214.0,16.0
Nude Nuns With Big Guns,,1.7,189400,,2011-07-19,90.0,,106.0,28.0
Gun,,1.5,193138,,2011-05-25,82.0,,96.0,9.0
